id,date,oppo,venue,result,bat_first,first_runs,first_wkts,first_all_out,first_notes,second_runs,second_wkts,second_all_out,second_notes,overs_opp,overs_tocc,tocc_w,tocc_nb,tocc_b,tocc_lb,opp_w,opp_nb,opp_b,opp_lb
-1,2013-05-27 00:00:00,Steeple Langford,A,W,Opp,88,10,,Clark 4-2,92,6,,Hill 3-21,22.3,30.3,3,1,4,3,7,0,2,2
-1,2013-06-02 00:00:00,LESSA Wanderers,H,L,Opp,165,8,,"Brown 70, Leadley 3-13",117,9,,"Middleton 52, Feroz 3-19",35.5,35,2,6,5,4,11,0,5,0
-1,2013-06-09 00:00:00,Worcester Park,H,W,Opp,138,9,,Seymour 6-25,139,1,,"Sharpe 94*, Edghill D 31*",26.1,43,4,0,5,2,1,2,8,2
-1,2013-06-16 00:00:00,LESSA Wanderers,H,L,TOCC,132,9,,Feroz 3-19,134,5,,Edghill C 3-20,40,29.5,7,0,0,2,16,0,16,1
-1,2013-06-30 00:00:00,RACS,A,W,Opp,229,4,,Donelly 115,230,6,,"Stevenson 64*, Springer 53",38,39.5,6,5,6,7,2,2,4,0
-1,2013-07-07 00:00:00,Vishwa,H,L,Opp,216,10,,"Asim 66, Prashant 55, Seymour 3-65",132,9,,,28.2,33,12,0,10,1,4,0,0,3
-1,2013-07-14 00:00:00,Southern Railway,A,L,Opp,235,6,,George 106,177,10,,Driver 60,28,40,24,2,11,3,13,1,2,3
-1,2013-07-21 00:00:00,Statics,H,W,TOCC,231,7,,"Driver S 64, Sharpe 61, Vinay 3-23",211,9,,"Duggal 91, Singh V 56, Middleton 3-33",39,37.4,17,4,13,2,10,2,8,6
-1,2013-07-28 00:00:00,Southbank,A,W,TOCC,199,7,,"Brocks 48, Sharpe 45",143,10,,"Thorten 55, Edghill D 4-33, Sharpe 3-12",40,39.2,2,1,3,0,13,0,8,5
-1,2013-08-04 00:00:00,Eltham,A,W,Opp,152,9,,"Fisher 61, Bisley 66, Seymour 4-49",155,5,,"Springer 66*, Sharpe 59",24.5,42,10,0,4,3,4,0,5,2
-1,2013-08-11 00:00:00,Dulwich,A,W,TOCC,174,10,,"Swanson B 4-18, Ebert 4-24",125,7,,Springer 4-31,43.5,35,3,0,15,4,6,3,13,1
-1,2013-08-18 00:00:00,Beddington,A,L,TOCC,201,4,,Seymour 84,203,7,,Seymour 3-40,41,39,13,2,9,8,8,1,0,3
-1,2013-08-25 00:00:00,Norwood Exiles,H,W,Opp,151,8,,"Wilson 52, Edghill D 3-30",152,6,,Middleton 47*,38.4,40,12,0,3,0,12,6,4,0
-1,2013-09-01 00:00:00,Sanderstead,A,L,Opp,225,3,,"Lemon 81*, Lock 54*",189,7,,Middleton 53,40,40,2,5,1,1,11,0,7,4
-1,2013-09-08 00:00:00,Chadwick,H,D,TOCC,221,10,,"Clarkson 43*, Malik 3-22",129,5,,"Thornton 52, Lennon 52",42,37,4,1,3,5,19,0,17,13
-1,2013-09-22 00:00:00,Bromley Town & Old Bromley,A,W,TOCC,159,7,,"Springer 49*, Graham 3-19",20,10,,Springer 6-2,40,9.3,3,0,1,0,19,11,10,4
-1,2011-04-24 00:00:00,LESSA Wanderers,H,W,Opp,140,9,,,144,2,,"Sharpe 69*, Naeem 67*",22,39.2,9,0,6,7,1,0,4,2
-1,2011-05-08 00:00:00,Beddington,H,L,TOCC,130,10,,"Middleton 42, Horkan 3-20",131,2,,Sinfield 60*,35.1,26.3,3,1,8,4,2,1,15,5
-1,2011-05-14 00:00:00,Cheam,A,L,Opp,221,7,,"Crust 77, Fisher 64, Clark 4-20",195,7,,"Seymour 63, Rao 49",40,40,7,0,5,5,10,4,13,0
-1,2011-05-22 00:00:00,Sanderstead,H,L,Opp,208,4,,"Rushforth R 54, Lemon 50, Mustafa 4-44",147,10,,"Middleton 35, Mustafa 33, Knight 3-9",29.1,41,14,2,15,1,2,5,7,2
-1,2011-05-28 00:00:00,Churchleigh,A,L,TOCC,72,10,,"Sharpe 33, Wilkinson 3-7",75,7,,Shewan 3-14,19.2,15.1,0,0,4,2,5,1,2,3
-1,2011-05-29 00:00:00,Steeple Langford,A,W,Opp,143,10,,"Mundy N 71*, Sharpe 4-25",146,2,,"Sharpe 51, Seymour 35*, Lestrelle J 30*",26.1,40,8,1,4,1,1,2,11,4
-1,2011-05-30 00:00:00,Woodgreen,A,W,TOCC,135,4,,"Gibbs 65, Sharpe 34, Waters 3-31",120,5,,Cousins 54*,15,15,3,1,3,0,4,1,2,1
-1,2011-05-31 00:00:00,Cove,A,D,Opp,194,7,,"Hartley 45, Gudge 44, Mander A 4-67",100,8,,Thorogood 3-25,35,36.5,1,0,5,0,4,1,1,6
-1,2011-06-05 00:00:00,Carshalton,H,ND,Opp,235,9,,"Hall 49, Middleton 3-46",,,,,0,40,7,3,17,4,0,0,0,0
-1,2011-06-19 00:00:00,Cheam,A,L,TOCC,122,9,,Bracher 4-55,124,0,,Henry 85*,36.3,17.3,2,0,1,0,10,3,3,2
-1,2011-06-26 00:00:00,John Fisher,H,L,Opp,138,9,,"Bhatti 52*, Clark 4-21",136,10,,Middleton 47,39,33.3,10,3,4,4,14,6,6,5
